EstadoMunicpios,Ovos_de_codorna_Mil_dzias,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Castanhal,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,15000.0
Colares,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,15000.0
Curuçá,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,4020.0
Igarapé-Açu,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,7560.0
Inhangapi,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,4500.0
Magalhães Barata,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,85.0
Maracanã,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,3900.0
Marapanim,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,755.0
Santa Izabel do Pará,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,10000.0
Santa Maria do Pará,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,15250.0
Santo Antônio do Tauá,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,3500.0
São Caetano de Odivelas,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,30000.0
São Domingos do Capim,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,655.0
São Francisco do Pará,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,3050.0
São João da Ponta,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,1350.0
São Miguel do Guamá,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,7650.0
Terra Alta,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,1850.0
Vigia,-,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,2000.0
Fonte: IBGE/PPM,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,
Elaboração: FAPESPA,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,6 Guamá,46,Producao de Origem Animal por Tipo - 2024 ri guama,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guama.xlsx,Guamá,Mel_de_abelha_Quilogramas,
