Par,27792,9307,99624,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Fonte: MTE-RAIS,,,,,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,
Elaboração: FAPESPA,,,,,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,117832,
RI Marajó,-,139,402,870,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,3141.0
Afuá,-,9,40,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,66.0
Anajás,-,14,2,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,90.0
Bagre,-,-,-,2,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,53.0
Breves,-,9,69,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,1328.0
Cachoeira do Arari,-,6,-,64,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,92.0
Chaves,-,10,1,288,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,39.0
Curralinho,-,-,-,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,40.0
Gurupá,-,40,-,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,85.0
Melgaço,-,-,3,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,57.0
Muaná,-,-,74,36,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,52.0
Oeiras do Pará,-,1,-,1,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,61.0
Ponta de Pedras,-,5,5,80,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,116.0
Portel,-,9,162,143,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,405.0
Salvaterra,-,19,19,46,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,215.0
Santa Cruz do Arari,-,2,-,23,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,8.0
São Sebastião da Boa Vista,-,-,1,-,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,26.0
Soure,-,15,26,187,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,408.0
Fonte: MTE-RAIS,,,,,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,
Elaboração: FAPESPA,,,,,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,261547,
RI Marajó,-,139,402,870,8 Marajó,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri marajo.xlsx,Marajó,444602,11212.0
