Regio_de_Integrao,Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
,Oriximiná,HOSPITAL MATERNIDADE SAO DOMINGOS SAVIO ,Hospital Especializado,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL DE PORTO TROMBETAS ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL MUNICIPAL DE ORIXIMINA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL REGIONAL MENINO JESUS HRMJ ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,Santarém,HOSPITAL REGIONAL DO BAIXO AMAZONAS DO PA DR WALDEMAR PENNA ,Hospital Especializado,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL E MATERNIDADE JOAO XXIII ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL E MATERNIDADE SAGRADA FAMILIA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL MUNICIPAL DE SANTAREM ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,HOSPITAL UNIMED ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
,,UNIMED OESTE DO PARA ,Hospital Geral,1 Pará,19,Caracterização Hospitalar por  Tipo - 2025 para,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 para.xlsx,RIs
