EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Almeirim,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,2124.0
Belterra,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,313.0
Curuá,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,2470.0
Faro,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,742.0
Juruti,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,3754.0
Mojuí dos Campos,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,838.0
Monte Alegre,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,14006.0
Óbidos,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,6590.0
Oriximiná,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,3870.0
Prainha,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,7180.0
Santarém,1000,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,6624.0
Terra Santa,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,1545.0
Fonte: IBGE/PPM,,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,
