Par,163405,137455,7716788,137,97,1871,16868,169935,254341,204611,3130177,2229561,4729,74442,90615,1089,16329,43398,18515,41560,1248357,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Juruti,-,-,-,-,-,-,-,-,-,-,-,-,4,36,36,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,118.0
Mojuí dos Campos,8,6,348,-,-,-,15,39,70,-,-,-,10,50,133,20,188,526,50,100,2715,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,2160.0
Monte Alegre,420,307,16025,-,-,-,50,410,820,-,-,-,3250,52813,53532,5,32,128,35,30,969,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,10669.0
Óbidos,10,4,168,-,-,-,10,80,42,-,-,-,10,120,256,5,20,38,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,1257.0
Oriximiná,-,-,-,-,-,-,3,21,21,-,-,-,10,120,360,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,1134.0
Prainha,15,3,143,15,3,67,35,280,420,-,-,-,155,2790,6529,12,192,547,5,10,285,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,2736.0
Santarém,383,115,6555,-,-,-,20,169,386,-,-,-,31,352,677,30,225,722,170,340,9860,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,1698.0
Terra Santa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,40.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,1080902,
RI Baixo Amazonas,1497,652,35691,40,28,688,203,1362,2151,0,0,0,3870,64151,67310,108,1027,2999,345,625,18002,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,516.0
Alenquer,616,182,10920,-,-,-,49,196,196,-,-,-,390,7800,5582,15,150,488,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,210.0
Almeirim,45,35,1532,25,25,621,16,144,173,-,-,-,-,-,-,21,220,550,35,70,1960,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,9.0
Belterra,-,-,-,-,-,-,3,9,16,-,-,-,10,70,205,-,-,-,50,75,2213,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,10.0
Curuá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,
Faro,-,-,-,-,-,-,2,14,7,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,3.0
Juruti,-,-,-,-,-,-,-,-,-,-,-,-,4,36,36,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,1.0
Mojuí dos Campos,8,6,348,-,-,-,15,39,70,-,-,-,10,50,133,20,188,526,50,100,2715,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,16.0
Monte Alegre,420,307,16025,-,-,-,50,410,820,-,-,-,3250,52813,53532,5,32,128,35,30,969,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,40.0
Óbidos,10,4,168,-,-,-,10,80,42,-,-,-,10,120,256,5,20,38,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,20.0
Oriximiná,-,-,-,-,-,-,3,21,21,-,-,-,10,120,360,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,10.0
Prainha,15,3,143,15,3,67,35,280,420,-,-,-,155,2790,6529,12,192,547,5,10,285,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,105.0
Santarém,383,115,6555,-,-,-,20,169,386,-,-,-,31,352,677,30,225,722,170,340,9860,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,90.0
Terra Santa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,2.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,15091,
RI Baixo Amazonas,1497,652,35691,40,28,688,203,1362,2151,0,0,0,3870,64151,67310,108,1027,2999,345,625,18002,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,8018.0
Alenquer,616,182,10920,-,-,-,49,196,196,-,-,-,390,7800,5582,15,150,488,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,3859.0
Almeirim,45,35,1532,25,25,621,16,144,173,-,-,-,-,-,-,21,220,550,35,70,1960,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,135.0
Belterra,-,-,-,-,-,-,3,9,16,-,-,-,10,70,205,-,-,-,50,75,2213,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,80.0
Curuá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,
Faro,-,-,-,-,-,-,2,14,7,-,-,-,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,27.0
Juruti,-,-,-,-,-,-,-,-,-,-,-,-,4,36,36,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,10.0
Mojuí dos Campos,8,6,348,-,-,-,15,39,70,-,-,-,10,50,133,20,188,526,50,100,2715,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,80.0
Monte Alegre,420,307,16025,-,-,-,50,410,820,-,-,-,3250,52813,53532,5,32,128,35,30,969,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,448.0
Óbidos,10,4,168,-,-,-,10,80,42,-,-,-,10,120,256,5,20,38,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,400.0
Oriximiná,-,-,-,-,-,-,3,21,21,-,-,-,10,120,360,-,-,-,-,-,-,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,120.0
Prainha,15,3,143,15,3,67,35,280,420,-,-,-,155,2790,6529,12,192,547,5,10,285,3 Baixo Amazonas,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri baixo.xlsx",Baixo Amazonas,261114,1575.0
