Par,col,1,437,1_2,19,681,3,480,747,21,2,261,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Bom Jesus do Tocantins,-,-,-,-,14,1,-,14,1,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,7.0
Brejo Grande do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,10.0
Canaã dos Carajás,-,-,6,-,-,6,-,-,7,-,-,4,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,11.0
Curionópolis,-,-,1,-,-,1,-,-,1,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,9.0
Eldorado do Carajás,-,-,-,-,-,-,-,-,1,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,29.0
Marabá,-,-,18,-,-,35,-,-,38,2,-,13,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,95.0
Palestina do Pará,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,6.0
Parauapebas,-,-,21,-,-,36,-,-,38,1,-,9,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,35.0
Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,15.0
São Domingos do Araguaia,-,-,2,-,-,2,-,-,2,-,-,1,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,21.0
São Geraldo do Araguaia,-,-,-,-,-,1,-,-,1,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,19.0
São João do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,20.0
Fonte: MEC - INEP,,,,,,,,,,,,,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,
Elaboração: FAPESPA,,,,,,,,,,,,,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,6505,
RI Carajás,-,-,48,-,14,82,-,14,89,3,-,27,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,7206,373.0
Bom Jesus do Tocantins,-,-,-,-,14,1,-,14,1,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,7206,22.0
Brejo Grande do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,7206,10.0
Canaã dos Carajás,-,-,6,-,-,6,-,-,7,-,-,4,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,7206,17.0
