EstadoMunicpio,Bubalino,Ovino,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Tailândia,760,1862,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,2700.0
Fonte: IBGE/PPM,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,
Elaboração: FAPESPA,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__total,
Pará,775075,284632,1980,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,93157.0
RI Tocantins,2854,7060,0,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,11077.0
Abaetetuba,773,577,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,3100.0
Acará,112,619,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,70.0
Baião,357,1465,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,250.0
Barcarena,84,423,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,630.0
