EstadoRIs,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Araguaia,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,8828506265787085.0
Baixo Amazonas,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,1.4948077413455028e+16
Carajás,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,500925818253379.0
Guajará,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,5161768633187582.0
Guamá,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,2.9147655295344224e+16
Lago de Tucuruí,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,5727312542814469.0
Marajó,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,2.7333533421944004e+16
Rio Caeté,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,3.0289374339728576e+16
Rio Capim,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,5717067427432866.0
Tapajós,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,4.376906347881987e+16
Tocantins,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,4.689486089914725e+16
Xingu,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,6336230745890374.0
Fonte: DATASUS,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,
Elaboração: FAPESPA,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,
*Nota: Dados Preliminares extraídos em Outubro/2025.,1 Pará,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 para.xlsx",RIS,Taxa_de_Homicdio_de_Jovens_100000_hab,
